latitude,longitude,zone_code,hemisphere_NS,hemisphere_WE
39.1,117.1666667,AS-NCN,North,East
38.91666667,121.6666667,AS-NCN,North,East
23.0566,113.5281,AS-SCN,North,East
26.05,119.3,AS-SCN,North,East
36.35,120.667,AS-NCN,North,East
31.2131001,121.5063355,AS-NCN,North,East
40.230636,122.107814,AS-NCN,North,East
29.933,121.883,AS-NCN,North,East
41.28333,123.75,AS-NCN,North,East
23.12911,113.264385,AS-SCN,North,East
29.01667,111.66667,AS-SCN,North,East
31.7666,120.95,AS-NCN,North,East
22.267,113.067,AS-SCN,North,East
31.63333,121.38333,AS-NCN,North,East
38.926984,121.654095,AS-NCN,North,East
28.45,121.8666667,AS-NCN,North,East
40.000787,124.354451,AS-NCN,North,East
32.48333,120.0,AS-NCN,North,East
37.45,118.48333,AS-NCN,North,East
35.6,119.767,AS-NCN,North,East
38.9,121.6,AS-NCN,North,East
33.63333,108.63333,AS-NCN,North,East
23.25,115.017,AS-SCN,North,East
36.067117,120.382612,AS-NCN,North,East
23.701262,117.430061,AS-SCN,North,East
38.8828623,121.5278118,AS-NCN,North,East
36.7,121.23333,AS-NCN,North,East
23.03333,113.1,AS-SCN,North,East
25.974642,119.509221,AS-SCN,North,East
23.28333,115.66667,AS-SCN,North,East
24.18333,113.4,AS-SCN,North,East
22.567,114.433,AS-SCN,North,East
23.114346,113.281455,AS-SCN,North,East
23.1576366,113.4110535,AS-SCN,North,East
31.231763,121.484443,AS-NCN,North,East
23.810227,108.8868,AS-SIN,North,East
38.36667,117.35,AS-NCN,North,East
27.1,120.3,AS-SCN,North,East
31.8195372,121.1249149,AS-NCN,North,East
23.1,113.41667,AS-SCN,North,East
30.007232,115.336359,AS-NCN,North,East
30.199378,122.644701,AS-NCN,North,East
22.705124,113.316811,AS-SCN,North,East
28.88333,105.45,AS-NCN,North,East
30.017,122.1,AS-NCN,North,East
23.117,115.083,AS-SCN,North,East
23.05,112.733,AS-SCN,North,East
41.304958,123.776572,AS-NCN,North,East
30.07544,103.848538,AS-NCN,North,East
23.1,113.417,AS-SCN,North,East
23.035339,113.226513,AS-SCN,North,East
